REEF_NAME,REEF_ID,Latitude,Longitude
FLY REEF,14109,-14.5,145.158333333333
FLYNN REEF,16065,-16.7333333333333,146.275
FOLLETT REEF,21586,-21.9666666666667,152.7
FORBES ISLANDS REEF,12016,-12.2916666666667,143.408333333333
FORE AND AFT REEF,18043,-18.5,147.033333333333
FORK REEF,18083,-18.6166666666667,147.558333333333
FORRESTER REEF,15009,-15.1666666666667,145.5
FRIGATE REEF,21511,-21.7333333333333,152.425
GANNETT CAY REEF,21556,-21.9833333333333,152.475
GIBSON REEF,17017,-17.2916666666667,146.366666666667
GILBEY REEF,17057,-17.5833333333333,146.583333333333
GIRDER REEF,19156,-19.6666666666667,149.75
GLOW REEF,18071,-18.5333333333333,147.408333333333
GOBLE REEFS (EAST),20305,-20.7833333333333,150.483333333333
GOBLE REEFS (WEST),20306,-20.8,150.45
GOULD REEF (NO 1),19072,-19.4,148.775
GREAT DETACHED REEF (NO 1),11244,-11.6833333333333,144.016666666667
GREAT DETACHED REEF (NO 2),11244,-11.7833333333333,144.05
GREAT DETACHED REEF (NO 3),11244,-11.7833333333333,143.991666666667
GREEN ISLAND REEF,16049,-16.7583333333333,145.98
GRUB REEF(14003),14003,-14.0083333333333,143.991666666667
GRUB REEF(18077),18077,-18.6333333333333,147.425
HALL-THOMPSON REEF,17037,-17.6166666666667,146.45
HARDY REEF,19135,-19.7583333333333,149.225
HARRIER REEF,15025,-15.1333333333333,145.691666666667
HASTINGS REEF,16057,-16.5166666666667,146.016666666667
HAVANNAH REEF,18065,-18.85,146.541666666667
HAYMAN ISLAND REEF,20014,-20.0666666666667,148.891666666667
HEDGE REEF,13108,-13.9083333333333,143.958333333333
HEDLEY REEF,17014,-17.2333333333333,146.483333333333
HELIX REEF,18076,-18.6333333333333,147.3
HELSDON REEF,14135,-14.95,145.491666666667
HERALDS PRONG NO 3,21434,-21.6083333333333,151.383333333333
HERON REEF,23052,-23.45,151.95
HICKS REEF(14086),14086,-14.45,145.483333333333
HILDER REEF,14085,-14.4416666666667,145.408333333333
HOLBOURNE ISLAND REEF,19103,-19.7166666666667,148.358333333333
HOOK ISLAND REEF (NO 7),20028,-20.0666666666667,148.933333333333
HOOK REEF(19136),19136,-19.8333333333333,149.216666666667
HOPE REEF(16058),16058,-16.53,146.125
HOPE REEF(19046),19046,-19.325,148.433333333333
HOPKINSON REEF,18073,-18.5583333333333,147.191666666667
HORSESHOE,22104,-22.0333333333333,152.591666666667
HOSKYN ISLANDS REEF,23080,-23.8083333333333,152.291666666667
HOUGHTON REEF,14094,-14.525,144.975
HUTCHISON REEF,17043,-17.675,146.166666666667
HYDE REEF,19207,-19.7583333333333,150.091666666667
INGRAM-BEANLEY REEF,14064,-14.425,144.891666666667
IRENE REEF,15084,-15.65,145.716666666667
JACQUELINE REEF,19061,-19.2166666666667,148.9
JAGUAR REEF,18120,-18.9833333333333,148.425
JENKINS REEF,21584,-21.9583333333333,152.6
JESSIE-KENT REEF,17043,-17.6766666666667,146.175
JOAN REEF,13128,-13.95,144.35
JOHN BREWER REEF,18075,-18.6333333333333,147.058333333333
JUDITH WRIGHT REEF,18101,-18.9083333333333,147.958333333333
JUNIOR REEF,22122,-22.15,152.533333333333
JUPITER REEF,18115,-18.925,148.258333333333
KANGAROO REEF (EAST),19063,-19.25,148.625
KANGAROO REEF (WEST),19063,-19.2583333333333,148.55
KAY REEF,12010,-12.2333333333333,143.283333333333
KEEPER REEF,18079,-18.75,147.266666666667
KELSO REEF,18030,-18.4416666666667,146.991666666667
KNIFE REEF,18081,-18.5833333333333,147.558333333333
KNIGHT REEF,21039,-21.45,149.708333333333
KNUCKLE REEF,19116,-19.5416666666667,149.275
LADY MUSGRAVE REEF,23082,-23.9083333333333,152.408333333333
LAGOON REEF,12061,-12.3916666666667,143.741666666667
